time,"No,1","No,2","No,3","No,4","No,5","No,6","No,7","No,8","No,9","No,10","No,11","No,12","No,13","No,14","No,15","No,16"
0.10100007057189941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.20099997520446777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3020000457763672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.40199995040893555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6010000705718994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7009999752044678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8020000457763672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9000000953674316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.000999927520752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1000001430511475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2000000476837158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3020000457763672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4000000953674316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.502000093460083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.6010000705718994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7009999752044678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.8010001182556152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.9000000953674316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.000999927520752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.1010000705718994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.2009999752044678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3010001182556152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.4019999504089355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.503000020980835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.6010000705718994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.700000047683716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.8010001182556152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.9010000228881836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.002000093460083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.1010000705718994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.200000047683716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.3010001182556152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.4010000228881836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.500999927520752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6000001430511475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.7009999752044678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.802000045776367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.9010000228881836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.000999927520752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.1000001430511475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.200000047683716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.302000045776367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.401000022888184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.601000070571899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.700999975204468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.802000045776367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.901000022888184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.000999927520752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.1000001430511475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.200000047683716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.302000045776367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.400000095367432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.601000070571899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.700999975204468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.802000045776367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.900000095367432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.000999927520752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.101000070571899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.200000047683716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.301000118255615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.400000095367432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.601000070571899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.700000047683716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.802000045776367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.901000022888184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.000999927520752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.101000070571899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.200000047683716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.302000045776367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.400000095367432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.6000001430511475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.700999975204468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.801000118255615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.900000095367432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.100000143051147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.200999975204468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.301000118255615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.400000095367432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.600000143051147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.700000047683716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.801000118255615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.900000095367432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.000999927520752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.100000143051147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.200000047683716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.302000045776367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.400000095367432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.500999927520752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.6010000705719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.700000047683716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.801000118255615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.900000095367432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.002000093460083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1010000705719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.200000047683716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.301000118255615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.401000022888184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.600000143051147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.702000141143799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.801000118255615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.901000022888184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.000999927520752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.1010000705719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.200999975204468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.301000118255615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.401000022888184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.500999927520752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.600000143051147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.700999975204468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.802000045776367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.901000022888184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.1010000705719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.200999975204468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.302000045776367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.400000095367432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.6010000705719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.717999935150146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.801000118255615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.901000022888184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.000999927520752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.058000087738037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
